COD_ACTIVIDAD_F883;DESC_ACTIVIDAD_F883;DESCL_ACTIVIDA_F883;
462190;Venta al por mayor de materias primas agrícolas y de la silvicultura n.c.p.;Venta al por mayor de materias primas agrícolas y de la silvicultura n.c.p. (Incluye el acopio y venta al por mayor de materiles, desperdicios, subproductos agrícola usados como alimentos para animales);
462201;Venta al por mayor de lanas, cueros en bruto y productos afines;Venta al por mayor de lanas, cueros en bruto y productos afines;
462209;Venta al por mayor de materias primas pecuarias n.c.p. incluso animales vivos;Venta al por mayor de materias primas pecuarias n.c.p. incluso animales vivos (Incluye pieles y cueros en bruto);
463111;Venta al por mayor de productos lácteos;Venta al por mayor de productos lácteos;
463112;Venta al por mayor de fiambres y quesos;Venta al por mayor de fiambres y quesos;
463121;Venta al por mayor de carnes rojas y derivados;Venta al por mayor de carnes rojas y derivados (Incluye abastecedores y distribuidores de carne);
463129;Venta al por mayor de aves, huevos y productos de granja y de la caza n.c.p.;Venta al por mayor de aves, huevos y productos de granja y de la caza n.c.p. (Incluye la venta al por mayor  de carne de ave fresca, congelada o refrigerada);
463130;Venta al por mayor de pescado;Venta al por mayor de pescado;
463140;Venta al por mayor y empaque de frutas, de legumbres y hortalizas frescas;Venta al por mayor y empaque de frutas, de legumbres y hortalizas frescas;
463151;Venta al por mayor de pan, productos de confitería y pastas frescas;Venta al por mayor de pan, productos de confitería y pastas frescas;
463152;Venta al por mayor de azúcar;Venta al por mayor de azúcar;
463153;Venta al por mayor de aceites y grasas;Venta al por mayor de aceites y grasas;
463154;Venta al por mayor de café, té, yerba mate y otras infusiones y especias y condimentos;Venta al por mayor de café, té, yerba mate y otras infusiones y especias y condimentos (Incluye la venta de sal);
463159;Venta al por mayor de productos y subproductos de molinería n.c.p.;Venta al por mayor de productos y subproductos de molinería n.c.p.;
463160;Venta al por mayor de chocolates, golosinas y productos para kioscos y polirrubros n.c.p., excepto cigarrillos;Venta al por mayor de chocolates, golosinas y productos para kioscos y polirrubros n.c.p., excepto cigarrillos;
463170;Venta al por mayor de alimentos balanceados para animales;Venta al por mayor de alimentos balanceados para animales;
463180;Venta al por mayor en supermercados mayoristas de alimentos;Venta al por mayor en supermercados mayoristas de alimentos;
463191;Venta al por mayor de frutas, legumbres y cereales secos y en conserva;Venta al por mayor de frutas, legumbres y cereales secos y en conserva;
463199;Venta al por mayor de productos alimenticios n.c.p.;Venta al por mayor de productos alimenticios n.c.p. (Incluye la venta de miel y derivados, productos congelados,  etc.);
463211;Venta al por mayor de vino;Venta al por mayor de vino;
463212;Venta al por mayor de bebidas espiritosas;Venta al por mayor de bebidas espiritosas;
463219;Venta al por mayor de bebidas alcohólicas n.c.p.;Venta al por mayor de bebidas alcohólicas n.c.p. (Incluye la venta de aperitivos con alcohol, cerveza, sidra, etc.);
463220;Venta al por mayor de bebidas no alcohólicas;Venta al por mayor de bebidas no alcohólicas (Incluye la venta de aguas, sodas, bebidas refrescantes, jarabes, extractos, concentrados, gaseosas, jugos, etc.);
463300;Venta al por mayor de cigarrillos y productos de tabaco;Venta al por mayor de cigarrillos y productos de tabaco;
464111;Venta al por mayor de tejidos (telas);Venta al por mayor de tejidos (telas);
464112;Venta al por mayor de artículos de mercería;Venta al por mayor de artículos de mercería (Incluye la venta de puntillas, galones, hombreras, agujas, botones, etc.);
464113;Venta al por mayor de mantelería, ropa de cama y artículos textiles para el hogar;Venta al por mayor de mantelería, ropa de cama y artículos textiles para el hogar;
464114;Venta al por mayor de tapices y alfombras de materiales textiles;Venta al por mayor de tapices y alfombras de materiales textiles;
464119;Venta al por mayor de productos textiles n.c.p.;Venta al por mayor de productos textiles n.c.p.;
464121;Venta al por mayor de prendas de vestir de cuero;Venta al por mayor de prendas de vestir de cuero;
464122;Venta al por mayor de medias y prendas de punto;Venta al por mayor de medias y prendas de punto;
464129;Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo;Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo;
464130;Venta al por mayor de calzado excepto el ortopédico;Venta al por mayor de calzado excepto el ortopédico (Incluye venta de calzado de cuero, tela, plástico, goma, etc.);
464141;Venta al por mayor de pieles y cueros curtidos y salados;Venta al por mayor de pieles y cueros curtidos y salados;
464142;Venta al por mayor de suelas y afines;Venta al por mayor de suelas y afines (Incluye talabarterías, artículos regionales de cuero, almacenes de suelas, etc.);
464149;Venta al por mayor de artículos de marroquinería,  paraguas y productos similares n.c.p.;Venta al por mayor de artículos de marroquinería,  paraguas y productos similares n.c.p.;
464150;Venta al por mayor de uniformes y ropa de trabajo;Venta al por mayor de uniformes y ropa de trabajo;
464211;Venta al por mayor de libros y publicaciones;Venta al por mayor de libros y publicaciones;
464212;Venta al por mayor de diarios y revistas;Venta al por mayor de diarios y revistas;
464221;Venta al por mayor de papel y productos de papel y cartón excepto envases;Venta al por mayor de papel y productos de papel y cartón excepto envases;
464222;Venta al por mayor de envases de papel y cartón;Venta al por mayor de envases de papel y cartón;
464223;Venta al por mayor de artículos de librería y papelería;Venta al por mayor de artículos de librería y papelería;
464310;Venta al por mayor de productos farmacéuticos;Venta al por mayor de productos farmacéuticos (Incluye venta de medicamentos y kits de diagnóstico como test de embarazo, hemoglucotest, vacunas, etc.);
464320;Venta al por mayor de productos cosméticos, de tocador y de perfumería;Venta al por mayor de productos cosméticos, de tocador y de perfumería (Incluye venta de artículos para peluquería excepto equipamiento);
464330;Venta al por mayor de instrumental médico y odontológico y artículos ortopédicos;Venta al por mayor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico);
464340;Venta al por mayor de productos veterinarios;Venta al por mayor de productos veterinarios;
464410;Venta al por mayor de artículos de óptica y de fotografía;Venta al por mayor de artículos de óptica y de fotografía (Incluye venta de lentes de contacto, líquidos oftalmológicos, armazones, cristales ópticos, películas fotográficas, cámaras y accesorios para fotografía, etc.);
464420;Venta al por mayor de artículos de relojería, joyería y fantasías;Venta al por mayor de artículos de relojería, joyería y fantasías;
464501;Venta al por mayor de electrodomésticos y artefactos para el hogar excepto equipos de audio y video;Venta al por mayor de electrodomésticos y artefactos para el hogar excepto equipos de audio y video;
464502;Venta al por mayor de equipos de audio, video y televisión;Venta al por mayor de equipos de audio, video y televisión;
464610;Venta al por mayor de muebles excepto de oficina, artículos de mimbre y corcho, colchones y somieres;Venta al por mayor de muebles excepto de oficina, artículos de mimbre y corcho, colchones y somieres;
464620;Venta al por mayor de artículos de iluminación;Venta al por mayor de artículos de iluminación ;
464631;Venta al por mayor de artículos de vidrio;Venta al por mayor de artículos de vidrio;
464632;Venta al por mayor de artículos de bazar y menaje excepto de vidrio;Venta al por mayor de artículos de bazar y menaje excepto de vidrio;
464920;Venta al por mayor de materiales y productos de limpieza;Venta al por mayor de materiales y productos de limpieza;
464930;Venta al por mayor de juguetes;Venta al por mayor de juguetes (Incluye artículos de cotillón);
464940;Venta al por mayor de bicicletas y rodados similares;Venta al por mayor de bicicletas y rodados similares (Incluye cochecitos y sillas de paseo para bebés, andadores, triciclos, etc.);
464950;Venta al por mayor de artículos de esparcimiento y deportes;Venta al por mayor de artículos de esparcimiento y deportes (Incluye embarcaciones deportivas, armas y municiones, equipos de pesca, piletas de natación de lona o plástico, etc.);
464991;Venta al por mayor de flores y plantas naturales y artificiales;Venta al por mayor de flores y plantas naturales y artificiales;
464999;Venta al por mayor de artículos de uso doméstico o personal n.c.p;Venta al por mayor de artículos de uso doméstico o personal n.c.p (Incluye artículos de platería excepto los incluidos en talabartería, cuadros y marcos que no sean obra de arte o de colección, sahumerios y artículos de santería, parrillas y hogares, etc.);
465100;Venta al por mayor de equipos, periféricos, accesorios y programas informáticos;Venta al por mayor de equipos, periféricos, accesorios y programas informáticos;
465210;Venta al por mayor de equipos de telefonía y comunicaciones;Venta al por mayor de equipos de telefonía y comunicaciones;
465220;Venta al por mayor de componentes electrónicos;Venta al por mayor de componentes electrónicos;
465310;Venta al por mayor de máquinas, equipos e implementos de uso en los sectores agropecuario, jardinería, silvicultura, pesca y caza;Venta al por mayor de máquinas, equipos e implementos de uso en los sectores agropecuario, jardinería, silvicultura, pesca y caza (Incluye venta de tractores, cosechadoras, enfardadoras, remolques de carga y descarga automática, motosierras, cortadoras de césped autopropulsadas, etc.);
465320;Venta al por mayor de máquinas, equipos e implementos de uso en la elaboración de alimentos, bebidas y tabaco;Venta al por mayor de máquinas, equipos e implementos de uso en la elaboración de alimentos, bebidas y tabaco (Incluye máquinas para moler, picar y cocer alimentos, fabricadora de pastas, bateas, enfriadoras y envasadoras de bebidas, etc.);
465330;Venta al por mayor de máquinas, equipos e implementos de uso en la fabricación de textiles, prendas y accesorios de vestir, calzado, artículos de cuero y marroquinería;Venta al por mayor de máquinas, equipos e implementos de uso en la fabricación de textiles, prendas y accesorios de vestir, calzado, artículos de cuero y marroquinería (Incluye venta de máquinas de coser, de cortar tejidos, de tejer, extender telas, robots de corte y otros equipos para la industria textil y confeccionista, etc.);
465340;Venta al por mayor de máquinas, equipos e implementos de uso en imprentas, artes gráficas y actividades conexas;Venta al por mayor de máquinas, equipos e implementos de uso en imprentas, artes gráficas y actividades conexas (Incluye venta de máquinas fotocopiadoras - excepto las de uso personal-, copiadoras de planos, máquinas para imprimir, guillotinar, troquelar, encuadernar, etc.);
465350;Venta al por mayor de máquinas, equipos e implementos de uso médico y paramédico;Venta al por mayor de máquinas, equipos e implementos de uso médico y paramédico (Incluye venta de equipos de diagnóstico y tratamiento, camillas, cajas de cirugía, jeringas y otros implementos de material descartable, etc.);
465360;Venta al por mayor de máquinas, equipos e implementos de uso en la industria del plástico y del caucho;Venta al por mayor de máquinas, equipos e implementos de uso en la industria del plástico y del caucho (Incluye sopladora de envases, laminadora de plásticos, máquinas extrusoras y moldeadoras, etc.);
465390;Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p.;Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p.  (Incluye motoniveladoras, excavadoras, palas mecánicas, perforadoras-percutoras, etc.);
465400;Venta al por mayor de máquinas - herramienta de uso general;Venta al por mayor de máquinas - herramienta de uso general;
465500;Venta  al  por  mayor  de  vehículos,  equipos  y  máquinas  para  el transporte ferroviario, aéreo y de navegación;Venta  al  por  mayor  de  vehículos,  equipos  y  máquinas  para  el transporte ferroviario, aéreo y de navegación;
465610;Venta al por mayor de muebles e instalaciones para oficinas;Venta al por mayor de muebles e instalaciones para oficinas;
465690;Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.;Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.;
465910;Venta al por mayor de máquinas y equipo de control y seguridad;Venta al por mayor de máquinas y equipo de control y seguridad;
465920;Venta al por mayor de maquinaria y equipo de oficina, excepto equipo informático;Venta al por mayor de maquinaria y equipo de oficina, excepto equipo informático;
465930;Venta al por mayor de equipo profesional y científico e instrumentos de medida y de control n.c.p.;Venta al por mayor de equipo profesional y científico e instrumentos de medida y de control n.c.p.;
465990;Venta al por mayor de máquinas, equipo y materiales conexos n.c.p.;Venta al por mayor de máquinas, equipo y materiales conexos n.c.p.;
466110;Venta al por mayor de combustibles y lubricantes para automotores;Venta al por mayor de combustibles y lubricantes para automotores;
466121;Fraccionamiento y distribución de gas licuado;Fraccionamiento y distribución de gas licuado;
466129;Venta al por mayor de combustibles, lubricantes, leña y carbón, excepto gas licuado y combustibles y lubricantes para automotores;Venta al por mayor de combustibles, lubricantes, leña y carbón, excepto gas licuado y combustibles y lubricantes para automotores;
466200;Venta al por mayor de metales y minerales metalíferos;Venta al por mayor de metales y minerales metalíferos;
466310;Venta al por mayor de aberturas;Venta al por mayor de aberturas (Incluye puertas, ventanas, cortinas de enrollar, madera, aluminio, puertas corredizas, frentes de placard, etc.);
466320;Venta al por mayor de productos de madera excepto muebles;Venta al por mayor de productos de madera excepto muebles (Incluye placas, varillas, parqué, machimbre, etc.);
466330;Venta al por mayor de artículos de ferretería y materiales eléctricos;Venta al por mayor de artículos de ferretería y materiales eléctricos (Incluye la venta  de clavos, cerraduras, cable coaxil. etc);
466340;Venta al por mayor de pinturas y productos conexos;Venta al por mayor de pinturas y productos conexos;
466350;Venta al por mayor de cristales y espejos;Venta al por mayor de cristales y espejos;
466360;Venta al por mayor de artículos para plomería, instalación de gas y calefacción;Venta al por mayor de artículos para plomería, instalación de gas y calefacción;
466370;Venta al por mayor de papeles para pared, revestimiento para pisos de goma, plástico y textiles,  y artículos similares para la decoración;Venta al por mayor de papeles para pared, revestimiento para pisos de goma, plástico y textiles,  y artículos similares para la decoración;
466391;Venta al por mayor de artículos de loza, cerámica y porcelana de uso en construcción;Venta al por mayor de artículos de loza, cerámica y porcelana de uso en construcción;
466399;Venta al por mayor de artículos para la construcción n.c.p.;Venta al por mayor de artículos para la construcción n.c.p. (No incluye artículos y materiales de demolición: 466990 );
466910;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos textiles;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos textiles;
466920;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de papel y cartón;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de papel y cartón;
466931;Venta al por mayor de artículos de plástico;Venta al por mayor de artículos de plástico ;
466932;Venta al por mayor de abonos, fertilizantes y plaguicidas;Venta al por mayor de abonos, fertilizantes y plaguicidas;
466939;Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio, caucho, goma y químicos n.c.p.;Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio, caucho, goma y químicos n.c.p.;
466940;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos metálicos;Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos metálicos (Incluye chatarra, viruta de metales diversos, etc.);
466990;Venta al por mayor de productos intermedios, desperdicios y desechos n.c.p.;Venta al por mayor de productos intermedios, desperdicios y desechos n.c.p.;
469010;Venta al por mayor de insumos agropecuarios diversos;Venta al por mayor de insumos agropecuarios diversos;
469090;Venta al por mayor de mercancías n.c.p.;	Venta al por mayor de mercancías n.c.p.;
471110;Venta al por menor en hipermercados;Venta al por menor en hipermercados ;
471120;Venta al por menor en supermercados;Venta al por menor en supermercados;
471130;Venta al por menor en minimercados;Venta al por menor en minimercados (Incluye mercaditos, autoservicios y establecimientos similares que vendan carnes, verduras y demás productos alimenticios en forma conjunta);
471190;Venta al por menor en kioscos, polirrubros y comercios no especializados n.c.p.;Venta al por menor en kioscos, polirrubros y comercios no especializados n.c.p.;
471900;Venta al por menor en comercios no especializados, sin predominio de productos alimenticios y bebidas;Venta al por menor en comercios no especializados, sin predominio de productos alimenticios y bebidas;
472111;Venta al por menor de productos lácteos;Venta al por menor de productos lácteos;
472112;Venta al por menor de fiambres y embutidos;Venta al por menor de fiambres y embutidos;
472120;Venta al por menor de productos de almacén y dietética;Venta al por menor de productos de almacén y dietética;
472130;Venta al por menor de carnes rojas, menudencias y chacinados frescos;Venta al por menor de carnes rojas, menudencias y chacinados frescos;
472140;Venta al por menor de huevos, carne de aves y  productos de granja y de la caza;Venta al por menor de huevos, carne de aves y  productos de granja y de la caza;
472150;Venta al por menor de pescados y  productos de la pesca;Venta al por menor de pescados y  productos de la pesca;
472160;Venta al por menor de frutas, legumbres y hortalizas frescas;Venta al por menor de frutas, legumbres y hortalizas frescas;
472171;Venta al por menor de pan y productos de panadería;Venta al por menor de pan y productos de panadería   ;
472172;Venta al por menor de bombones, golosinas y demás productos de confitería;Venta al por menor de bombones, golosinas y demás productos de confitería;
472190;Venta al por menor de productos alimenticios n.c.p., en comercios especializados;Venta al por menor de productos alimenticios n.c.p., en comercios especializados;
472200;Venta al por menor de bebidas en comercios especializados;Venta al por menor de bebidas en comercios especializados;
472300;Venta al por menor de tabaco en comercios especializados;Venta al por menor de tabaco en comercios especializados;
473000;Venta al por menor de combustible para vehículos automotores y motocicletas;Venta al por menor de combustible para vehículos automotores y motocicletas (Incluye la venta al por menor de productos lubricantes y refrigerantes);
474010;Venta al por menor de equipos, periféricos,  accesorios y programas informáticos;Venta al por menor de equipos, periféricos,  accesorios y programas informáticos;
474020;Venta al por menor de aparatos de telefonía y comunicación;Venta al por menor de aparatos de telefonía y comunicación (Incluye teléfonos, celulares, fax, etc);
475110;Venta al por menor de hilados, tejidos y artículos de mercería;Venta al por menor de hilados, tejidos y artículos de mercería (Incluye mercerías, sederías, comercios de venta de lanas y otros hilados, etc.) ;
475120;Venta al por menor de confecciones para el hogar;Venta al por menor de confecciones para el hogar (Incluye la venta al por menor de sábanas, toallas, mantelería, cortinas confeccionadas, colchas, cubrecamas, etc.);
475190;Venta al por menor de artículos textiles n.c.p. excepto prendas de vestir;Venta al por menor de artículos textiles n.c.p. excepto prendas de vestir (Incluye la venta al por menor de tapices, alfombras,  etc.);
475210;Venta al por menor de aberturas;Venta al por menor de aberturas (Incluye puertas, ventanas, cortinas de enrollar de PVC, madera, aluminio, puertas corredizas, frentes de placards, etc.);
475220;Venta al por menor de maderas y artículos de madera  y corcho, excepto muebles;Venta al por menor de maderas y artículos de madera  y corcho, excepto muebles;
475230;Venta al por menor de artículos de ferretería y materiales eléctricos;Venta al por menor de artículos de ferretería y materiales eléctricos;
475240;Venta al por menor de pinturas y productos conexos;Venta al por menor de pinturas y productos conexos;
475250;Venta al por menor de artículos para plomería e instalación de gas;Venta al por menor de artículos para plomería e instalación de gas;
475260;Venta al por menor de cristales, espejos, mamparas y cerramientos;Venta al por menor de cristales, espejos, mamparas y cerramientos;
475270;Venta al por menor de papeles para pared, revestimientos para pisos y artículos similares para la decoración;Venta al por menor de papeles para pared, revestimientos para pisos y artículos similares para la decoración;
475290;Venta al por menor de materiales de construcción n.c.p.;Venta al por menor de materiales de construcción n.c.p.;
475300;Venta al por menor  de electrodomésticos, artefactos para el hogar y equipos de audio y video;Venta al por menor  de electrodomésticos, artefactos para el hogar y equipos de audio y video;
475410;Venta al por menor de muebles para el hogar, artículos de mimbre y corcho;Venta al por menor de muebles para el hogar, artículos de mimbre y corcho;
475420;Venta al por menor de colchones y somieres;Venta al por menor de colchones y somieres;
475430;Venta al por menor de artículos de iluminación;Venta al por menor de artículos de iluminación ;
475440;Venta al por menor de artículos de bazar y menaje;Venta al por menor de artículos de bazar y menaje (Incluye venta al por menor de vajilla, cubiertos, etc.);
475490;Venta al por menor de artículos para el hogar n.c.p.;Venta al por menor de artículos para el hogar n.c.p. (Incluye perchas, marcos, cuadros, etc.);
476110;Venta al por menor de libros;Venta al por menor de libros;
476120;Venta al por menor de diarios y revistas;Venta al por menor de diarios y revistas;
476130;Venta al por menor de papel, cartón, materiales de embalaje y artículos de librería;Venta al por menor de papel, cartón, materiales de embalaje y artículos de librería ;
476310;Venta al por menor de equipos  y artículos deportivos;Venta al por menor de equipos  y artículos deportivos (Incluye la venta y reparación  de bicicletas, la venta  de aparatos de gimnasia y de equipos de camping, etc.)  ;
476320;Venta al por menor de armas, artículos para la caza y pesca;Venta al por menor de armas, artículos para la caza y pesca;
476400;Venta al por menor de juguetes, artículos de cotillón y juegos de mesa;Venta al por menor de juguetes, artículos de cotillón y juegos de mesa;
477110;Venta al por menor de ropa interior, medias, prendas para dormir y para la playa;Venta al por menor de ropa interior, medias, prendas para dormir y para la playa (Incluye corsetería, lencería, camisetas, medias excepto ortopédicas, pijamas, camisones y saltos de cama, salidas de baño, trajes de baño, etc.);
477120;Venta al por menor de uniformes escolares y guardapolvos;Venta al por menor de uniformes escolares y guardapolvos;
477130;Venta al por menor de indumentaria para bebés y niños;Venta al por menor de indumentaria para bebés y niños;
477140;Venta al por menor de indumentaria deportiva;Venta al por menor de indumentaria deportiva;
477150;Venta al por menor de prendas de cuero;Venta al por menor de prendas de cuero ;
477190;Venta al por menor de prendas y accesorios de vestir n.c.p.;Venta al por menor de prendas y accesorios de vestir n.c.p. ;
477210;Venta al por menor de artículos de talabartería y artículos regionales;Venta al por menor de artículos de talabartería y artículos regionales (Incluye venta de artículos regionales de cuero, plata, alpaca y similares);
477220;Venta al por menor de calzado, excepto el ortopédico y el deportivo;Venta al por menor de calzado, excepto el ortopédico y el deportivo (No incluye almacenes de suelas 464142);
477230;Venta al por menor de calzado deportivo;Venta al por menor de calzado deportivo;
477290;Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p.;Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p.;
477310;Venta al por menor de productos farmacéuticos y de herboristería;Venta al por menor de productos farmacéuticos y de herboristería;
477320;Venta al por menor de productos cosméticos, de tocador y de perfumería;Venta al por menor de productos cosméticos, de tocador y de perfumería;
477330;Venta al por menor de instrumental médico y odontológico y artículos ortopédicos;Venta al por menor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico);
477410;Venta al por menor de artículos de óptica y fotografía;Venta al por menor de artículos de óptica y fotografía;
477420;Venta al por menor de artículos de relojería y joyería;Venta al por menor de artículos de relojería y joyería;
477430;Venta al por menor de bijouterie y fantasía;Venta al por menor de bijouterie y fantasía;
477440;Venta al por menor de flores, plantas, semillas, abonos, fertilizantes y otros productos de vivero 	;	Venta al por menor de flores, plantas, semillas, abonos, fertilizantes y otros productos de vivero ;
477450;Venta al por menor de materiales y productos de limpieza;Venta al por menor de materiales y productos de limpieza;
477460;Venta al por menor de fuel oil, gas en garrafas, carbón y leña;Venta al por menor de fuel oil, gas en garrafas, carbón y leña (No incluye las estaciones de servicios que se clasifican en 473000);
477470;Venta al por menor de productos veterinarios, animales domésticos y alimento balanceado para mascotas;Venta al por menor de productos veterinarios, animales domésticos y alimento balanceado para mascotas;
477480;Venta al por menor de obras de arte;Venta al por menor de obras de arte;
477490;Venta al por menor de artículos nuevos n.c.p.;Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas,  de artículos religiosos -santerías-, recarga de matafuegos,  etc.) ;
477810;Venta al por menor de muebles usados;Venta al por menor de muebles usados;
477820;Venta al por menor de libros, revistas y similares usados;Venta al por menor de libros, revistas y similares usados;
477830;Venta al por menor de antigüedades;Venta al por menor de antigüedades (Incluye venta de antigüedades en remates);
477840;Venta al por menor de oro, monedas, sellos y similares;Venta al por menor de oro, monedas, sellos y similares (Incluye la  venta de monedas de colección, estampillas, etc.) ;
477890;Venta al por menor de artículos usados n.c.p. excepto+E1155 automotores y motocicletas;Venta al por menor de artículos usados n.c.p. excepto+E1155 automotores y motocicletas ;
478010;Venta al por menor de alimentos, bebidas y tabaco en puestos móviles y mercados;Venta al por menor de alimentos, bebidas y tabaco en puestos móviles y mercados;
478090;Venta al por menor de productos n.c.p. en puestos móviles y mercados;Venta al por menor de productos n.c.p. en puestos móviles y mercados;
479101;Venta al por menor por internet;Venta al por menor por internet ;
479109;Venta al por menor por correo, televisión y otros medios de comunicación n.c.p.;Venta al por menor por correo, televisión y otros medios de comunicación n.c.p.;
479900;Venta al por menor no realizada en establecimientos  n.c.p.;Venta al por menor no realizada en establecimientos  n.c.p. (Incluye venta mediante máquinas expendedoras, vendedores ambulantes y vendedores a domicilio);
491110;Servicio de transporte ferroviario urbano y suburbano de pasajeros;Servicio de transporte ferroviario urbano y suburbano de pasajeros (Incluye el servicio de subterráneo y de premetro);
491120;Servicio de transporte ferroviario interurbano de pasajeros;Servicio de transporte ferroviario interurbano de pasajeros;
491200;Servicio de transporte ferroviario de cargas;Servicio de transporte ferroviario de cargas;
492110;Servicio de transporte automotor urbano y suburbano regular de pasajeros;Servicio de transporte automotor urbano y suburbano regular de pasajeros ;
492120;Servicios de transporte automotor de pasajeros mediante taxis y remises, alquiler de autos con chofer;Servicios de transporte automotor de pasajeros mediante taxis y remises, alquiler de autos con chofer (Incluye los radiotaxis);
492130;Servicio de transporte escolar;Servicio de transporte escolar (Incluye el servicio de transporte para colonias de vacaciones y clubes);
492140;Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar;Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar (Incluye servicios urbanos especiales como charters, servicios contratados, servicios para ámbito portuario o aeroportuario, servicio de hipódromos y espectáculos deportivos y culturales);
492150;Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional;Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia);
492160;Servicio de transporte automotor interurbano no regular de pasajeros;Servicio de transporte automotor interurbano no regular de pasajeros ;
492170;Servicio de transporte automotor internacional de pasajeros;Servicio de transporte automotor internacional de pasajeros ;
492180;Servicio de transporte automotor turístico de pasajeros;Servicio de transporte automotor turístico de pasajeros ;
492190;Servicio de transporte automotor de pasajeros n.c.p.;Servicio de transporte automotor de pasajeros n.c.p.;
492210;Servicios de mudanza;Servicios de mudanza (Incluye servicios de guardamuebles);
492221;Servicio de transporte automotor de cereales;Servicio de transporte automotor de cereales;
492229;Servicio de transporte automotor de mercaderías a granel n.c.p.;Servicio de transporte automotor de mercaderías a granel n.c.p.;
492230;Servicio de transporte automotor de animales;Servicio de transporte automotor de animales;
492240;Servicio de transporte por camión cisterna;Servicio de transporte por camión cisterna;
492250;Servicio de transporte automotor de mercaderías y sustancias peligrosas;Servicio de transporte automotor de mercaderías y sustancias peligrosas;
492280;Servicio de transporte automotor urbano de carga n.c.p.;Servicio de transporte automotor urbano de carga n.c.p. (Incluye el transporte realizado por fleteros y distribuidores dentro del égido urbano);
492290;Servicio de transporte automotor de cargas n.c.p.;Servicio de transporte automotor de cargas n.c.p. (Incluye  servicios de transporte de carga refrigerada y transporte pesado);
493110;Servicio de transporte por oleoductos;Servicio de transporte por oleoductos (Incluye estaciones de bombeo y compresión);
493120;Servicio de transporte por poliductos y fueloductos;Servicio de transporte por poliductos y fueloductos;
493200;Servicio de transporte por gasoductos;Servicio de transporte por gasoductos (Incluye estaciones de bombeo y compresión);
501100;Servicio de transporte marítimo de pasajeros;Servicio de transporte marítimo de pasajeros;
501200;Servicio de transporte marítimo de carga;Servicio de transporte marítimo de carga;
502101;Servicio de transporte fluvial y lacustre de pasajeros;Servicio de transporte fluvial y lacustre de pasajeros;
502200;Servicio de transporte fluvial y lacustre de carga;Servicio de transporte fluvial y lacustre de carga;
511000;Servicio de transporte aéreo de pasajeros;Servicio de transporte aéreo de pasajeros;
512000;Servicio de transporte aéreo de cargas;Servicio de transporte aéreo de cargas;
521010;Servicios de manipulación de carga en el ámbito terrestre;Servicios de manipulación de carga en el ámbito terrestre;
521020;Servicios de manipulación de carga en el ámbito portuario;Servicios de manipulación de carga en el ámbito portuario;
521030;Servicios de manipulación de carga en el ámbito aéreo;Servicios de manipulación de carga en el ámbito aéreo;
522010;Servicios de almacenamiento y depósito en silos;Servicios de almacenamiento y depósito en silos;
522020;Servicios de almacenamiento y depósito en cámaras frigoríficas;Servicios de almacenamiento y depósito en cámaras frigoríficas;
522091;Servicios de usuarios directos de zona franca;Servicios de usuarios directos de zona franca;
522092;Servicios de gestión de depósitos fiscales;Servicios de gestión de depósitos fiscales;
522099;Servicios de almacenamiento y depósito n.c.p.;Servicios de almacenamiento y depósito n.c.p.;
523011;Servicios de gestión aduanera realizados por despachantes de aduana;Servicios de gestión aduanera realizados por despachantes de aduana;
523019;Servicios de gestión aduanera para el transporte de mercaderías n.c.p.;Servicios de gestión aduanera para el transporte de mercaderías n.c.p.;
523020;Servicios de agencias marítimas para el transporte de mercaderías;Servicios de agencias marítimas para el transporte de mercaderías;
